SN,Kiln Temperature (°C),Fuel Consumption (kg/h),Raw Meal Composition (% Limestone),Clinker Production Rate (tons/h),Oxygen Levels (%),Kiln Pressure (bar),Air Flow Rate (m³/h),Fuel,CO2 Emissions (kg/h)
0,1360.20,201.75,82.38,99.58,3.41,13.79,1750.94,Oil,1056.32
1,1357.28,193.38,83.70,91.27,3.83,13.71,1987.58,Gas,970.71
2,1366.72,193.39,85.14,83.92,3.94,14.36,2032.73,Oil,897.22
3,1348.60,199.24,82.75,95.15,3.44,14.01,2025.08,Coal,1011.27
4,1342.05,200.11,82.06,80.24,3.63,15.42,2219.44,Coal,862.43
5,1357.04,220.06,86.80,96.00,3.39,14.86,2069.37,Gas,1026.02
6,1343.31,223.06,86.03,95.47,4.12,14.51,2065.91,Gas,1021.62
7,1344.38,184.82,83.23,91.80,4.10,16.18,1808.18,Coal,973.45
8,1368.85,184.34,85.86,90.90,3.70,16.20,1883.45,Coal,964.30
9,1354.51,192.65,86.26,80.57,3.56,13.99,2073.07,Coal,863.49
10,1360.20,201.75,82.38,99.58,3.41,13.79,1750.94,Oil,1056.32
11,1357.28,193.38,83.70,91.27,3.83,13.71,1987.58,Gas,970.71
12,1366.72,193.39,85.14,83.92,3.94,14.36,2032.73,Oil,897.22
13,1348.60,199.24,82.75,95.15,3.44,14.01,2025.08,Coal,1011.27
14,1342.05,200.11,82.06,80.24,3.63,15.42,2219.44,Coal,862.43
15,1357.04,220.06,86.80,96.00,3.39,14.86,2069.37,Gas,1026.02
16,1343.31,223.06,86.03,95.47,4.12,14.51,2065.91,Gas,1021.62
17,1344.38,184.82,83.23,91.80,4.10,16.18,1808.18,Coal,973.45
18,1368.85,184.34,85.86,90.90,3.70,16.20,1883.45,Coal,964.30
19,1354.51,192.65,86.26,80.57,3.56,13.99,2073.07,Coal,863.49
20,1360.20,201.75,82.38,99.58,3.41,13.79,1750.94,Oil,1056.32
21,1357.28,193.38,83.70,91.27,3.83,13.71,1987.58,Gas,970.71
22,1366.72,193.39,85.14,83.92,3.94,14.36,2032.73,Oil,897.22
23,1348.60,199.24,82.75,95.15,3.44,14.01,2025.08,Coal,1011.27
24,1342.05,200.11,82.06,80.24,3.63,15.42,2219.44,Coal,862.43
25,1357.04,220.06,86.80,96.00,3.39,14.86,2069.37,Gas,1026.02
26,1343.31,223.06,86.03,95.47,4.12,14.51,2065.91,Gas,1021.62
27,1344.38,184.82,83.23,91.80,4.10,16.18,1808.18,Coal,973.45
28,1368.85,184.34,85.86,90.90,3.70,16.20,1883.45,Coal,964.30
29,1354.51,192.65,86.26,80.57,3.56,13.99,2073.07,Coal,863.49
30,1360.20,201.75,82.38,99.58,3.41,13.79,1750.94,Oil,1056.32
31,1357.28,193.38,83.70,91.27,3.83,13.71,1987.58,Gas,970.71
32,1366.72,193.39,85.14,83.92,3.94,14.36,2032.73,Oil,897.22
33,1348.60,199.24,82.75,95.15,3.44,14.01,2025.08,Coal,1011.27
34,1342.05,200.11,82.06,80.24,3.63,15.42,2219.44,Coal,862.43
35,1357.04,220.06,86.80,96.00,3.39,14.86,2069.37,Gas,1026.02
