SN,Power (Kw),Power Consumption (MWH),Power Consumed (KWt/h),Absorbed Power (Kw),Power Consumption (Kw) Max,Power (rotary drive) Kw,Energy Consumption (kWh/t-clinker)
0,4919.15,369111.47,5547.48,5079.33,6805.31,588.98,1266.97
1,4783.04,368865.10,4162.72,4576.75,6843.65,756.31,1142.85
2,4056.10,358031.23,4062.84,4144.90,6518.09,602.03,1021.87
3,5822.15,325128.60,4986.20,4065.36,6749.29,693.17,1235.73
4,5953.36,362637.13,4135.35,4006.22,7370.30,657.03,1210.57
5,5010.71,369022.87,4102.46,4914.63,7815.66,548.30,1079.20
6,5180.38,360597.67,5618.01,4586.43,7233.49,695.90,1150.14
7,5176.40,380212.72,5316.84,4739.78,7763.14,580.62,1150.78
8,5455.74,443202.02,4094.38,4353.23,6873.74,749.56,1088.23
9,5167.86,438081.43,4598.77,3980.41,7811.13,678.71,1161.33
10,4919.15,369111.47,5547.48,5079.33,6805.31,588.98,1266.97
11,4783.04,368865.10,4162.72,4576.75,6843.65,756.31,1142.85
12,4056.10,358031.23,4062.84,4144.90,6518.09,602.03,1021.87
13,5822.15,325128.60,4986.20,4065.36,6749.29,693.17,1235.73
14,5953.36,362637.13,4135.35,4006.22,7370.30,657.03,1210.57
15,5010.71,369022.87,4102.46,4914.63,7815.66,548.30,1079.20
16,5180.38,360597.67,5618.01,4586.43,7233.49,695.90,1150.14
17,5176.40,380212.72,5316.84,4739.78,7763.14,580.62,1150.78
18,5455.74,443202.02,4094.38,4353.23,6873.74,749.56,1088.23
19,5167.86,438081.43,4598.77,3980.41,7811.13,678.71,1161.33
20,4919.15,369111.47,5547.48,5079.33,6805.31,588.98,1266.97
21,4783.04,368865.10,4162.72,4576.75,6843.65,756.31,1142.85
22,4056.10,358031.23,4062.84,4144.90,6518.09,602.03,1021.87
23,5822.15,325128.60,4986.20,4065.36,6749.29,693.17,1235.73
24,5953.36,362637.13,4135.35,4006.22,7370.30,657.03,1210.57
25,5010.71,369022.87,4102.46,4914.63,7815.66,548.30,1079.20
26,5180.38,360597.67,5618.01,4586.43,7233.49,695.90,1150.14
27,5176.40,380212.72,5316.84,4739.78,7763.14,580.62,1150.78
28,5455.74,443202.02,4094.38,4353.23,6873.74,749.56,1088.23
29,5167.86,438081.43,4598.77,3980.41,7811.13,678.71,1161.33
30,4919.15,369111.47,5547.48,5079.33,6805.31,588.98,1266.97
31,4783.04,368865.10,4162.72,4576.75,6843.65,756.31,1142.85
